DATE,POSITIVES / POPULATION,(POSITIVES TODAY) / (POSITIVES 10 DD BACK),VALUE,REGION
2020-05-03,0.0014236713,0.8633932912,66.6,Toscana
2020-05-03,0.0002058706,0.5154929577,2.2875,Umbria
2020-05-03,0.0008590591,0.2354211663,1.3625,Valle d'Aosta
2020-05-03,0.0014873065,0.7354156171,91.2375,Veneto
2020-05-04,0.0013893017,0.8835978836,22.9625,Abruzzo
2020-05-04,0.0003033145,0.7554585153,2.1625,Basilicata
2020-05-04,0.0003429802,0.8209500609,8.425,Calabria
2020-05-04,0.0004642852,0.9211688753,33.8875,Campania
2020-05-04,0.0020194024,0.7182028939,112.3,Emilia-Romagna
2020-05-04,0.0008621596,0.7954545455,13.125,Friuli Venezia Giulia
2020-05-04,0.0007434567,0.9761798753,54.8125,Lazio
2020-05-04,0.0022410939,1.0206575502,43.85,Liguria
2020-05-04,0.0037236972,1.0855155959,466.3375,Lombardia
2020-05-04,0.0020844508,0.9795294837,40.075,Marche
2020-05-04,0.0005733631,0.89,2.225,Molise
2020-05-04,0.001272,0.581884721,7.95,P.A. Bolzano
2020-05-04,0.0020697864,0.6376573618,14.5625,P.A. Trento
2020-05-04,0.0035428362,1.0111103892,194.525,Piemonte
2020-05-04,0.0007246755,1.004091374,36.8125,Puglia
2020-05-04,0.0003950071,0.8121890547,8.1625,Sardegna
2020-05-04,0.0004354669,0.949137931,27.525,Sicilia
2020-05-04,0.0014105782,0.8607533018,65.9875,Toscana
2020-05-04,0.0002036206,0.5621118012,2.2625,Umbria
2020-05-04,0.0008669404,0.3107344633,1.375,Valle d'Aosta
2020-05-04,0.0014740616,0.7473912594,90.425,Veneto
2020-05-05,0.0013681256,0.8777292576,22.6125,Abruzzo
2020-05-05,0.0003103276,0.8119266055,2.2125,Basilicata
2020-05-05,0.0003307673,0.8014796547,8.125,Calabria
2020-05-05,0.0004332871,0.8620102215,31.625,Campania
2020-05-05,0.0019512947,0.7030857698,108.5125,Emilia-Romagna
2020-05-05,0.0008079667,0.9077490775,12.3,Friuli Venezia Giulia
2020-05-05,0.0007409136,0.9581232186,54.625,Lazio
2020-05-05,0.0021893469,0.9982522575,42.8375,Liguria
